Sample Index,GX Raw (LSB),GY Raw (LSB),GZ Raw (LSB),GX Uncal (dps),GY Uncal (dps),GZ Uncal (dps),GX Cal (dps),GY Cal (dps),GZ Cal (dps),Roll Angle Uncal (deg),Pitch Angle Uncal (deg),Yaw Angle Uncal (deg),Roll Angle Cal (deg),Pitch Angle Cal (deg),Yaw Angle Cal (deg)
1,-1112,104,-90,-8.488550,0.793893,-0.687023,-0.426588,0.248588,-0.413931,-0.084885,0.007939,-0.006870,-0.004266,0.002486,-0.004139
2,-1077,155,-82,-8.221374,1.183206,-0.625954,-0.159412,0.637901,-0.352863,-0.167099,0.019771,-0.013130,-0.005860,0.008865,-0.007668
3,-1052,171,-77,-8.030534,1.305344,-0.587786,0.031427,0.760038,-0.314695,-0.247405,0.032824,-0.019008,-0.005546,0.016465,-0.010815
4,-1070,131,-76,-8.167939,1.000000,-0.580153,-0.105977,0.454695,-0.307061,-0.329084,0.042824,-0.024809,-0.006605,0.021012,-0.013885
5,-1057,158,-76,-8.068702,1.206107,-0.580153,-0.006740,0.660802,-0.307061,-0.409771,0.054885,-0.030611,-0.006673,0.027620,-0.016956
6,-1042,55,-6,-7.954198,0.419847,-0.045802,0.107763,-0.125458,0.227290,-0.489313,0.059084,-0.031069,-0.005595,0.026366,-0.014683
7,-991,17,-249,-7.564885,0.129771,-1.900763,0.497076,-0.415534,-1.627672,-0.564962,0.060382,-0.050076,-0.000625,0.022210,-0.030960
8,-1015,-7,-5,-7.748092,-0.053435,-0.038168,0.313870,-0.598740,0.234924,-0.642443,0.059847,-0.050458,0.002514,0.016223,-0.028611
9,-992,13,16,-7.572519,0.099237,0.122137,0.489443,-0.446069,0.395229,-0.718168,0.060840,-0.049237,0.007409,0.011762,-0.024658
10,-993,25,16,-7.580153,0.190840,0.122137,0.481809,-0.354466,0.395229,-0.793969,0.062748,-0.048015,0.012227,0.008218,-0.020706
11,-1013,-6,21,-7.732824,-0.045802,0.160305,0.329137,-0.591107,0.433397,-0.871298,0.062290,-0.046412,0.015518,0.002306,-0.016372
12,-779,-12,-5,-5.946565,-0.091603,-0.038168,2.115397,-0.636908,0.234924,-0.930763,0.061374,-0.046794,0.036672,-0.004063,-0.014023
13,-777,21,15,-5.931298,0.160305,0.114504,2.130664,-0.385000,0.387595,-0.990076,0.062977,-0.045649,0.057979,-0.007913,-0.010147
14,-1049,-252,10,-8.007634,-1.923664,0.076336,0.054328,-2.468969,0.349427,-1.070153,0.043740,-0.044885,0.058522,-0.032602,-0.006653
15,-1074,106,-70,-8.198473,0.809160,-0.534351,-0.136511,0.263855,-0.261260,-1.152137,0.051832,-0.050229,0.057157,-0.029964,-0.009265
16,-1057,125,-59,-8.068702,0.954198,-0.450382,-0.006740,0.408893,-0.177290,-1.232824,0.061374,-0.054733,0.057089,-0.025875,-0.011038
17,-1055,136,-71,-8.053435,1.038168,-0.541985,0.008527,0.492863,-0.268893,-1.313359,0.071756,-0.060153,0.057175,-0.020946,-0.013727
18,-1063,146,-87,-8.114504,1.114504,-0.664122,-0.052542,0.569198,-0.391031,-1.394504,0.082901,-0.066794,0.056649,-0.015254,-0.017637
19,-1091,126,-87,-8.328244,0.961832,-0.664122,-0.266282,0.416527,-0.391031,-1.477786,0.092519,-0.073435,0.053986,-0.011089,-0.021548
20,-1086,133,-69,-8.290076,1.015267,-0.526718,-0.228115,0.469962,-0.253626,-1.560687,0.102672,-0.078702,0.051705,-0.006389,-0.024084
