Timestamp (s),X Position (cm),Y Position (cm),Raw X Position (cm),Raw Y Position (cm),VX (m/s),VY (m/s),Raw VX (m/s),Raw VY (m/s),Altitude (m),Heading (deg)
766.4807,1.3529,1.2796,0.8651,0.4840,-0.0062,0.0020,-0.0066,-0.0093,0.4200,264.2302
766.6389,1.2972,1.3457,0.7605,0.4926,-0.0035,0.0042,-0.0066,0.0005,0.4200,264.1752
766.9325,1.3010,1.3568,0.7500,0.6703,0.0001,0.0004,-0.0004,0.0061,0.4200,263.8846
767.0964,1.3512,1.4944,0.7597,0.5616,0.0031,0.0084,0.0006,-0.0066,0.4200,263.6367
767.2364,1.1574,1.5575,0.5535,0.6398,-0.0138,0.0045,-0.0147,0.0056,0.4200,263.5078
767.4019,1.2019,1.4621,0.5281,0.4967,0.0027,-0.0058,-0.0015,-0.0087,0.4200,263.3654
767.5718,1.1867,1.4031,0.5439,0.5701,-0.0009,-0.0035,0.0009,0.0043,0.4200,263.7040
767.7246,1.1787,1.3935,0.4115,0.5495,-0.0005,-0.0006,-0.0087,-0.0013,0.4200,263.5299
767.8624,1.0566,1.4039,0.2719,0.6041,-0.0089,0.0008,-0.0101,0.0040,0.4200,263.4011
767.9931,1.0433,1.3170,0.3038,0.6265,-0.0010,-0.0066,0.0024,0.0017,0.4200,263.3139
768.1329,0.9303,1.4342,0.1297,0.5670,-0.0081,0.0084,-0.0124,-0.0043,0.4200,263.2191
768.2709,1.0358,1.3113,0.1830,0.6064,0.0076,-0.0089,0.0039,0.0029,0.4200,263.0374
768.4082,0.9783,1.3099,0.1383,0.6175,-0.0042,-0.0001,-0.0033,0.0008,0.4200,262.9061
768.5274,0.9458,1.3149,0.0451,0.6305,-0.0027,0.0004,-0.0078,0.0011,0.4200,262.8702
768.7128,0.8879,1.1247,0.2016,0.5066,-0.0031,-0.0103,0.0084,-0.0067,0.4200,262.8327
768.8983,0.8837,1.1228,0.0606,0.3799,-0.0002,-0.0001,-0.0076,-0.0068,0.4200,262.7637
769.0246,0.8247,1.1411,0.0366,0.4385,-0.0047,0.0014,-0.0019,0.0046,0.4200,262.4554
769.1518,0.6252,1.1368,-0.0923,0.2895,-0.0157,-0.0003,-0.0101,-0.0117,0.4200,262.4262
769.3011,0.4312,1.1022,-0.3189,0.3384,-0.0130,-0.0023,-0.0152,0.0033,0.4200,262.1801
769.4307,0.3915,1.2107,-0.4133,0.4176,-0.0031,0.0084,-0.0073,0.0061,0.4200,262.3187
769.5664,-0.0129,1.2040,-0.7264,0.5156,-0.0298,-0.0005,-0.0231,0.0072,0.4200,262.1369
