Time (s),AX (g),AY (g),AZ (g),GX (dps),GY (dps),GZ (dps),Roll Gyro Pure (deg),Pitch Gyro Pure (deg),Yaw Gyro Pure (deg),Roll Accel (deg),Pitch Accel (deg),Roll CF (deg),Pitch CF (deg),Yaw CF (deg),Compass Heading (deg)
0.000,0.0251,0.0095,1.1492,0.6836,0.0968,-0.0339,0.0137,0.0019,257.2918,0.4747,-1.2535,0.0321,-0.0483,257.2918,257.29
0.020,0.0166,0.0342,1.1702,0.1034,-0.3078,0.3248,0.0157,-0.0042,257.2853,1.6731,-0.8125,0.0997,-0.0848,257.2832,257.23
0.040,0.0051,0.0291,1.1641,0.5233,0.0052,-1.6675,0.0262,-0.0041,257.3186,1.4297,-0.2523,0.1630,-0.0914,257.3132,257.23
0.060,-0.0142,0.0288,1.1602,0.2943,-0.4146,0.4241,0.0321,-0.0124,257.3102,1.4225,0.6991,0.2190,-0.0677,257.3015,257.22
0.080,-0.0007,0.0498,1.1318,2.2714,-0.3765,0.4546,0.0775,-0.0199,257.3011,2.5196,0.0370,0.3546,-0.0707,257.2950,257.36
0.100,0.0022,0.0503,1.1194,0.0118,-0.4604,0.3096,0.0778,-0.0291,257.2949,2.5725,-0.1124,0.4436,-0.0812,257.2923,257.38
0.121,0.0107,0.0408,1.1116,-0.1256,-0.4375,0.2332,0.0752,-0.0379,257.2902,2.1006,-0.5533,0.5075,-0.1085,257.2913,257.38
0.141,0.0183,0.0161,1.0840,-0.2782,0.2800,-0.2019,0.0697,-0.0323,257.2942,0.8516,-0.9676,0.5159,-0.1375,257.3166,257.83
0.161,0.0459,0.0337,1.0474,0.2485,0.0358,-0.1408,0.0746,-0.0316,257.2971,1.8424,-2.5080,0.5737,-0.2316,257.3425,257.90
0.181,0.0447,0.0256,1.0720,0.1874,0.4022,-0.1866,0.0784,-0.0235,257.3008,1.3698,-2.3858,0.6092,-0.3101,257.3681,257.90
0.201,0.0598,0.0000,1.0789,-0.0187,0.2342,-0.2935,0.0780,-0.0189,257.3067,0.0000,-3.1734,0.5844,-0.4201,257.3953,257.91
0.221,0.0562,0.0063,1.0950,0.2027,0.2648,-0.3775,0.0821,-0.0136,257.3142,0.3321,-2.9356,0.5782,-0.5157,257.4230,257.91
0.241,0.0269,0.0076,1.0942,0.3553,0.1274,-0.3546,0.0892,-0.0110,257.3213,0.3963,-1.4059,0.5778,-0.5488,257.4491,257.91
0.261,0.0112,-0.0063,1.1370,-1.4233,0.1884,-0.1255,0.0607,-0.0072,257.3238,-0.3199,-0.5659,0.5145,-0.5459,257.4699,257.91
0.281,-0.0120,0.0354,1.1643,0.4240,-0.1704,0.0195,0.0692,-0.0106,257.3234,1.7415,0.5884,0.5718,-0.5038,257.4870,257.91
0.301,-0.0181,0.0217,1.1169,-0.2630,0.0739,2.1645,0.0639,-0.0092,257.2801,1.1145,0.9265,0.5884,-0.4452,257.4622,257.91
0.321,-0.0105,0.0396,1.1499,0.3019,1.3793,-1.5912,0.0700,0.0184,257.3120,1.9699,0.5228,0.6495,-0.3800,257.5106,257.91
0.341,0.0051,0.0654,1.1128,2.3172,-0.2391,-1.6828,0.1163,0.0136,257.3456,3.3650,-0.2635,0.8026,-0.3799,257.5587,257.91
0.361,0.0034,0.0356,1.1140,-0.1179,-0.2620,0.2485,0.1140,0.0084,257.3406,1.8326,-0.1757,0.8415,-0.3768,257.5679,257.91
0.381,0.0208,0.0298,1.0872,-0.0645,-0.3307,0.4851,0.1127,0.0018,257.3309,1.5694,-1.0931,0.8694,-0.4118,257.5721,257.91
0.402,0.0439,0.0330,1.0645,-0.3088,0.0281,0.0882,0.1065,0.0023,257.3292,1.7735,-2.3629,0.8996,-0.4893,257.5762,257.71
0.422,0.0425,0.0188,1.0767,-0.3011,0.1426,0.0958,0.1005,0.0052,257.3273,1.0003,-2.2591,0.8979,-0.5573,257.5787,257.69
0.442,0.0623,0.0000,1.1345,0.5080,0.0281,-0.2248,0.1106,0.0058,257.3318,0.0000,-3.1409,0.8717,-0.6601,257.5871,257.68
